session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250329175854,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': ''}","[0, 1]",0,0,False
20250329175854,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '9;9', 'betting_history': '0'}","[0, 1]",1,0,False
20250329175854,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 3, 'chips': '9;8', 'betting_history': '01'}","[2, 3, 4]",1,0,True
20250329175854,1,0,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 3, 'chips': '9;8', 'betting_history': '01'}","[2, 3, 4]",0,0,False
20250329175854,1,1,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 3, 'chips': '9;8', 'betting_history': '010'}","[2, 3, 4]",0,0,False
20250329175854,1,2,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 3, 'chips': '9;8', 'betting_history': '0100'}","[2, 3, 4]",0,0,True
20250329180843,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': ''}","[0, 1]",0,0,False
20250329180843,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '0'}","[0, 1]",0,0,False
20250329180843,2,2,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '00'}","[0, 1]",0,0,True
20250329180843,2,0,second,0,"{'round': 2, 'stage': 'second', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '00'}","[0, 1]",0,0,False
20250329180843,2,1,second,1,"{'round': 2, 'stage': 'second', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '000'}","[0, 1]",1,0,False
20250329180843,2,2,second,1,"{'round': 2, 'stage': 'second', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': '0001'}","[2, 3, 4]",1,0,True
20250329181805,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '12;6', 'betting_history': ''}","[0, 1]",0,0,False
20250329181805,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '12;6', 'betting_history': '0'}","[0, 1]",0,0,False
20250329181805,2,2,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '12;6', 'betting_history': '00'}","[0, 1]",0,0,True
20250329181805,2,0,second,0,"{'round': 2, 'stage': 'second', 'current_player': 0, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '12;6', 'betting_history': '00'}","[0, 1]",0,0,False
20250329181805,2,1,second,1,"{'round': 2, 'stage': 'second', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '12;6', 'betting_history': '000'}","[0, 1]",0,0,False
20250329181805,2,2,second,1,"{'round': 2, 'stage': 'second', 'current_player': 1, 'player0_card': 0, 'player1_card': 1, 'player2_card': -1, 'pot': 2, 'chips': '12;6', 'betting_history': '0000'}","[0, 1]",0,0,True
20250329182430,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': ''}","[0, 1]",0,0,False
20250329182430,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '0'}","[0, 1]",0,0,False
20250329182430,2,2,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '00'}","[0, 1]",0,0,True
20250329182430,2,0,second,0,"{'round': 2, 'stage': 'second', 'current_player': 0, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '00'}","[0, 1]",0,0,False
20250329182430,2,1,second,1,"{'round': 2, 'stage': 'second', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '000'}","[0, 1]",0,0,False
20250329182430,2,2,second,1,"{'round': 2, 'stage': 'second', 'current_player': 1, 'player0_card': 1, 'player1_card': 2, 'player2_card': -1, 'pot': 2, 'chips': '8;10', 'betting_history': '0000'}","[0, 1]",0,0,True
