player_id,episode,step,player_card,pot_ratio,chips_ratio,round,is_first_round,position_p0,position_p1,position_p2,history_bet_count,history_raise_count,history_fold_count,action_check,action_bet,action_call,action_fold,action_raise,reward,done
0,20250401142141_1,0,2,0.3,0.9,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-9,0
1,20250401142141_1,1,3,0.4,0.8,0.2,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0,1,0,0,0,11,0
2,20250401142141_1,2,4,0.5,0.8,0.2,1.0,0.0,0.0,1.0,0.2,0.0,0.0,0,0,1,0,0,-2,0
0,20250401142214_1,1,2,0.9,0.5,0.2,1.0,1.0,0.0,0.0,0.2,0.2,0.0,0,0,0,0,1,-9,0
1,20250401142214_1,1,3,1.5,0.2,0.2,1.0,0.0,1.0,0.0,0.2,0.4,0.0,0,0,0,0,1,11,1
2,20250401142214_1,2,4,1.5,0.8,0.2,1.0,0.0,0.0,1.0,0.2,0.4,0.2,0,0,0,1,0,-2,1
0,20250401142323_1,3,2,1.8,0.2,0.2,1.0,1.0,0.0,0.0,0.2,0.4,0.2,0,0,1,0,0,-9,1
1,20250401142323_1,1,3,1.9,0.1,0.2,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0,1,0,0,0,11,1
0,20250401142413_1,2,2,2.0,0.1,0.2,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0,0,1,0,0,-9,1
