session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250330175741,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'Q', 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': 'betfold'}","[2, 3, 4]",3,-1,True
20250330175753,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 2, 'chips': '10;8', 'betting_history': 'check'}","[0, 1]",0,-1,False
20250330175753,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 3, 'chips': '10;7', 'betting_history': 'checkbet'}","[0, 1]",1,1,True
20250330175757,2,2,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'K', 'player2_card': -1, 'pot': 3, 'chips': '10;7', 'betting_history': 'checkbetfold'}","[2, 3, 4]",3,-1,True
20250330175803,3,1,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': -1, 'pot': 3, 'chips': '8;9', 'betting_history': 'bet'}","[0, 1]",1,3,False
20250330175803,3,1,first,1,"{'round': 3, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': -1, 'pot': 5, 'chips': '8;7', 'betting_history': 'betraise'}","[2, 3, 4]",4,-3,False
20250330175811,3,1,first,0,"{'round': 3, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': -1, 'pot': 11, 'chips': '2;7', 'betting_history': 'betraiseraise'}","[2, 3, 4]",4,3,True
20250330175811,3,2,first,1,"{'round': 3, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'J', 'player2_card': -1, 'pot': 11, 'chips': '2;7', 'betting_history': 'betraiseraisefold'}","[2, 3, 4]",3,-3,True
20250330180222,4,1,first,0,"{'round': 4, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'Q', 'player2_card': -1, 'pot': 3, 'chips': '11;6', 'betting_history': 'bet'}","[0, 1]",1,1,True
20250330180222,4,2,first,1,"{'round': 4, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'Q', 'player2_card': -1, 'pot': 3, 'chips': '11;6', 'betting_history': 'betfold'}","[2, 3, 4]",3,-1,True
20250330213055,1,0,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '9;9', 'betting_history': 'check'}","[0, 1]",0,-8,False
20250330213055,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 3, 'chips': '9;9', 'betting_history': 'checkcheck'}","[0, 1]",0,15,False
20250330213055,1,1,first,2,"{'round': 1, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 4, 'chips': '9;9', 'betting_history': 'checkcheckbet'}","[0, 1]",1,-7,False
20250330213132,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 7, 'chips': '6;9', 'betting_history': 'checkcheckbetraise'}","[2, 3, 4]",4,-8,False
20250330213132,1,1,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 13, 'chips': '6;3', 'betting_history': 'checkcheckbetraiseraise'}","[2, 3, 4]",4,15,True
20250330213132,1,2,first,2,"{'round': 1, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 18, 'chips': '6;3', 'betting_history': 'checkcheckbetraiseraisecall'}","[2, 3, 4]",2,-7,True
20250330213151,1,3,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 21, 'chips': '3;3', 'betting_history': 'checkcheckbetraiseraisecallcall'}","[2, 3, 4]",2,-8,True
20250330213151,1,1,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 22, 'chips': '3;2', 'betting_history': 'bet'}","[0, 1]",1,15,True
20250330213151,1,2,second,2,"{'round': 1, 'stage': 'second', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 22, 'chips': '3;2', 'betting_history': 'betfold'}","[2, 3, 4]",3,-7,True
20250330213242,1,3,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'A', 'pot': 23, 'chips': '2;2', 'betting_history': 'betfoldcall'}","[2, 3, 4]",2,-8,True
