session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250401144444,3,3,second,1,"{'round': 3, 'stage': 'second', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 7, 'chips': '12;4;7', 'betting_history': 'check,bet,fold,fold', 'highest_bet': 2, 'last_bettor': 2}","[2, 3, 4]",3,-2,True
20250401144445,4,1,first,0,"{'round': 4, 'stage': 'first', 'current_player': 0, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;3;13', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,2,True
20250401144446,4,2,first,1,"{'round': 4, 'stage': 'first', 'current_player': 1, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;3;13', 'betting_history': 'bet,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250401144447,4,3,first,2,"{'round': 4, 'stage': 'first', 'current_player': 2, 'player0_card': 'J', 'player1_card': 'Q', 'player2_card': 'K', 'pot': 4, 'chips': '10;3;13', 'betting_history': 'bet,fold,fold', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",3,-1,True
20250401144448,5,1,first,0,"{'round': 5, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 4, 'chips': '12;2;12', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,-2,False
20250401144449,5,1,first,1,"{'round': 5, 'stage': 'first', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 6, 'chips': '12;0;12', 'betting_history': 'bet,raise', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",4,5,True
20250401144450,5,2,first,2,"{'round': 5, 'stage': 'first', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'bet,raise,call', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",2,-3,True
20250401144451,5,3,first,0,"{'round': 5, 'stage': 'first', 'current_player': 0, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'bet,raise,call,fold', 'highest_bet': 2, 'last_bettor': 1}","[2, 3, 4]",3,-2,True
20250401144452,5,0,second,1,"{'round': 5, 'stage': 'second', 'current_player': 1, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}",[0],0,5,True
20250401144453,5,1,second,2,"{'round': 5, 'stage': 'second', 'current_player': 2, 'player0_card': 'K', 'player1_card': 'A', 'player2_card': 'J', 'pot': 8, 'chips': '12;0;10', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-3,True
20250401144454,6,0,first,0,"{'round': 6, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 3, 'chips': '11;7;9', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-2,False
20250401144455,6,1,first,1,"{'round': 6, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 4, 'chips': '11;6;9', 'betting_history': 'check,bet', 'highest_bet': 1, 'last_bettor': 1}","[0, 1]",1,3,True
20250401144456,6,2,first,2,"{'round': 6, 'stage': 'first', 'current_player': 2, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 4, 'chips': '11;6;9', 'betting_history': 'check,bet,fold', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",3,-1,True
20250401144457,6,3,first,0,"{'round': 6, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 5, 'chips': '10;6;9', 'betting_history': 'check,bet,fold,call', 'highest_bet': 1, 'last_bettor': 1}","[2, 3, 4]",2,-2,True
20250401144458,6,1,second,1,"{'round': 6, 'stage': 'second', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'A', 'player2_card': 'K', 'pot': 6, 'chips': '10;5;9', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 1}","[0, 1]",1,3,True
